Payment failed (Err. code %s),Paiement échoué (Cod. Erreur %s)
Payment refused from www.paycomet.com. Reason: #%s - %s,Paiement refusé chez www.paycomet.com. Motif: #%s - %s
Pago no realizado : %s,Paiement pas effectué: %s
Data succesfully saved,Données registrées avec succès
Incorrect input data,Données d'entrée erronées
Successful payment,Paiement completé avec succès
Tarjeta de credito PAYCOMET,Carte de credit PAYCOMET
Enabled,Activé
Title,Titre
Credit Card PAYCOMET,Carte de credit PAYCOMET
"Operation method","Type de service"
Integration method,Tipo de integración
Client Code,Código de cliente
User Name,Nom d'utilisateur
User Password,Mot de passe
Terminal number,Número de terminal
Terminals available,Terminales disponibles
Secure,Seguro
No Secure,No Seguro
Both,Ambos
Use 3D Secure,Usar 3D Secure
Use 3D Secure first purchase,Usar 3D Secure primera compra
Use 3D Secure in purchases above,Usar 3D Secure en pagos superiores a
Commerce password required in saved cards purchase,Contraseña del comercio en pagos con Tarjeta Guardada
Active Subscriptions,Activar Suscripciones
Show Name on Card,Mostrar Nombre en la Tarjeta
Show Credit Card Types,Mostrar Tipos de Tarjeta
Credit Card Types,Types de cartes bancaires
Minimum Order Total,Importe mínimo del pedido
Maximum Order Total,Importe máximo del pedido
Sort Order,Orden
Position of payment method,Posición el methodo de pago
Selected currency (%s) is not compatible with this payment method,La moneda seleccionada (%s) no es compatible con este método de pago
Authorization failed. %s - %s,Pré-autorisation échouée. %s - %s
Payment failed. %s - %s,Paiement échoué. %s - %s
Subscriber name is too long.,El nombre del suscriptor es demasiado largo.
Merchant reference ID format is not supported.,Merchant reference ID format is not supported.
Schedule description is too long.,Schedule description is too long.
Error,Error
Expired Card,Carte expirée
Blacklisted Card,Carte sur la liste noire
Operation not allowed for the type of card,Opération pas autorisée pour ce type de carte bancaire
Please contact the issuing bank,"Contactez avec votre banque s'il vous plaît"
Unexpected error,Erreur inattendue
Insufficient credit for the post,Credit insuffisant pour faire le paiement
Card not discharged or not registered by the issuing bank,Carte bancaire pas registrée par la banque émettrice
Format error in the captured data. CodValid,Erreur de format sur les données. CodValid
Error card number,Erreur dans le numéro de votre carte de crédit
Error in ExpireDate,Erreur dans la date d'expiration
Data error,Erreur dans les données
Block CVC2 wrong,Données CVC2 erronées
Credit card not valid,Carte de crédit pas valide
The credit card has restrictions,Carte à crédit limité
The card issuer could not identify the owner,Titulaire pas identifié par la banque émettrice de la carte
Payment not allowed in off-line,Paiement pas permis pour ce type d'opérations
