Payment failed (Err. code %s),Falha no pagamento (Cód. Erro %s)
Payment refused from www.paycomet.com. Reason: #%s - %s,Pagamento negado em www.paycomet.com. Razão: #%s - %s
Pago no realizado : %s,Pagamento não realizado: %s
Data succesfully saved,Dados guardados com êxito
Incorrect input data,Dados introduzidos incorretos
Successful payment,Pagamento efetuado corretamente
Credit Card PAYCOMET,Cartão de crédito PAYCOMET
Enabled,Ativado
Title,Título
Credit Card PAYCOMET,Cartão de crédito PAYCOMET
Operation method,Tipo de operativa
Integration method,Tipo de integração
Client Code,Código de cliente
User Name,Nome de utilizador
User Password,Password de utilizador
Terminal number,Número de terminal
Terminals available,Terminais disponíveis
Secure,Seguro
No Secure,Não Seguro
Both,Ambos
Use 3D Secure,Usar 3D Secure
Use 3D Secure first purchase,Usar 3D Secure primeira compra
Use 3D Secure in purchases above,Usar 3D Secure em pagamentos superiores a
Commerce password required in saved cards purchase,Password da loja em pagamentos com Cartão Guardado
Active Subscriptions,Ativar Subscrições
Show Name on Card,Mostrar Nome no Cartão
Name on Card,Nome no cartão
Credit Card Type,Tipo de cartão de crédito
--Please Select--,--Por favor selecione--
Credit Card Number,Número do Cartão de Crédito
Expiration Date,Data de validade
Month,Mês
Year,Ano
Card Verification Number,Numero de verificação do cartão
What is this?,O que é isso?
Show Credit Card Types,Mostrar tipos de cartão de crédito
Credit Card Types,Tipos de cartão
Minimum Order Total,Montante mínimo da encomenda
Maximum Order Total,Montante máximo da encomenda
Sort Order,Ordem
Position of payment method,Posição do método de pagamento
Selected currency (%s) is not compatible with this payment method,A moeda selecionada (%s) não é compatível com este método de pagamento
Authorization failed. %s - %s,Falha na autorização. %s - %s
Payment failed. %s - %s,Falha no pagamento. %s - %s
Subscriber name is too long.,O nome do subscritor é demasiado longo.
Merchant reference ID format is not supported.,O formato do Código de Loja não é suportado
Schedule description is too long.,A descrição é demasiado longa.
Error,Erro
Expired Card,Cartão caducado
Blacklisted Card,Cartão em lista negra
Operation not allowed for the type of card,Operação não permitida para o tipo de cartão
Please contact the issuing bank,Contacte o banco emissor
Unexpected error,Erro inesperado
Insufficient credit for the post,Crédito insuficiente para realizar o pagamento
Card not discharged or not registered by the issuing bank,Cartão não registado pelo banco emissor
Format error in the captured data. CodValid,Erro de formato nos dados captados. CodValid
Error card number,Erro no número do cartão
Error in ExpireDate,Erro na DataCaducidade
Data error,Erro nos dados
Block CVC2 wrong,Bloco CVC2 incorreto
Credit card not valid,Cartão de crédito não válido
The credit card has restrictions,O cartão tem restrições de crédito
The card issuer could not identify the owner,O emissor do cartão não conseguiu identificar o proprietário
Payment not allowed in off-line,Pagamento não permitido em operações fora de linha
Card expired. Please retain the card physically,Cartão caducado. Por favor, retenha fisicamente o cartão
Blacklisted Card. Please retain the card physically,Cartão em lista negra. Por favor, retenha fisicamente o cartão
